,title,question,answer
10,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",What’s your game?, I’m a 
11,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Do you watch a lot of skating in your downtime? Do you keep up with the sites?," Yeah, I have my YouTube subscriptions that I follow and things like that. This probably goes for a lot of people, but I try to watch the things that have my friends in it. At the same time I could watch Ish Cepeda skate or Robert Neal and I’m like, "
12,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Is that because you’re looking for inspiration on big terrain?," Snowboarding is relatable because it’s a board sport, but it’s so OD. They’re like switch 270 backlipping 20-flat-20 handrails. You can’t "
13,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","Yeah, they can hit things or build ramps to things that materialize fantasy in ways we can’t."," And there’s different aspects to street-level snowboarding, which I never knew. There are some dudes that use a winch, and maybe aren’t as respected as if you do it with natural speed."
14,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Is it funny to see the cultural norms reflected? Using a bungee for a us is a little passé.," Oh yeah, there’s only certain dudes that maybe get a pass using a bungee in skating."
15,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",I’ll give Sheckler a pass., That’s who I was referring to.
16,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","On that note, are boardslide yank-outs over? Are you still going to continue that fight?"," I read Cyrus’ Five Greats and he put them under tricks he’ll never do. Because I respect Cyrus’ skating so much, I was like "
17,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",You’re one of the great rail skaters of our time. Do you feel like rail skating has kind of gotten less interesting as it’s gotten more figured out?," Oh, the crosslock? People used to grind rails on your toe edge or heel edge and there wasn’t a whole lot of that crosslock. It was sketchy. But take "
18,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","Yeah, you gotta show that you might not have it figured out.", I think a good example of that is Jim Greco. In those 
19,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",not, I think a good example of that is Jim Greco. In those 
20,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","He’s had an honorable career. You’ve made your name as a video-part skater. Crafting these things slowly and intentionally is becoming more untenable. Do you look back at Static and the Polar videos as the more honorable discipline, or do you feel like it’s actually good to let things kind of be more temporal and less precious?", I’ll always view 
21,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Static, I’ll always view 
22,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","And you’ve got a new video part coming out in Paul Young’s Down By Law, which had an ad in the mag!", Yeah. I filmed most of 
23,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Down By Law, Yeah. I filmed most of 
24,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","So that’s an East Coast part, but you also have an all-Portland part. How important was it to make something all in your home state?"," I’ve actually thought about it for probably ten years. After years being dishonest with myself about filming a part, I just thought, "
25,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Set the record straight. Who’s got the crustier spots: Portland or New York?," Portland, for sure. We don’t have marble in the same way in the Northwest. The weathering is so much worse. In New York, you can Bondo a spot and it might be good. Oregon, you gotta Bondo, lacquer, rub brick and blowtorch the ground to make it dry. It’s like four steps."
26,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",What’s the best place you’ve been to skate?," I’d say Tel Aviv, but that’s gonna be controversial. Besides the unfortunate circumstances of the country and surrounding areas, it was a very fun place to skate. Greece was a really cool place to skate. Athens and Thessaloniki were really cool. And then probably Malmö, Sweden where Pontus and Polar are from. It’s cool to see all Pontus’ spots just biking around."
27,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",How has it been to see Polar go from a start-up skate company to the most important pants brand in the world?," It’s been pretty insane. Many of us on the team have been a part of it for over ten years, which sounds crazy to say. It felt cool as an American joining a European board company to make it an international company. I’m not saying it was the first, but then seeing other international brands come up like Palace, Magenta, Pass~Port, Evisen and others is cool. Seeing the growth of Polar has been awesome. It’s been an honor. Seeing Pontus’ progression in the quality of products, the type of graphics and the board shapes is really cool. We’ve been able to have our hands in certain projects; there’s board graphics that we get to have a good say on and board shapes, too. I don’t know if everyone gets to have that."
28,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",Toward the end of your career would you rather milk it and fizzle or go out on top like Kirchart?," As the great Chet Thomas once said, “I’d like to skate until I can’t walk.” I would like to skate until I’m 45 like Joey Pepper. If it gets to a point where reality sets in and being an 18-year-old 35 year old has to stop, I have no qualms with getting a job or going into a trade. I talk about HVAC all the time. I’ve had an awesome life and awesome opportunities. If I have to make my living like most Americans, it’s like, "
29,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","If someone is intimidated and wants to talk to you on a session, what should they do?"," Just come up and say something dorky. I’m just as timid or shy as anybody else, but I’m very approachable. I’m always gonna communicate with someone who reaches out. I’d love to believe I’m on the furthest end of the spectrum of what we negatively view as a cool guy. I’ve had people reach out on Instagram that have asked about mental health or not drinking and I’ve made friends with some people for years now. Some people have showed me their Polar board and I’m like, "
30,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>",What happens when we die?," Fuck, I don’t know."
31,"<h3 class=""article-title"">Aaron Herrington's ""Homeward Bound"" Interview</h3>","It’s kind of weird that if there are ghosts, there’s not that many of them. It seems like we just go away, right?"," You know, I don’t spend a lot of time worrying about that. I’m trying to live today, and if I’m worried about what’s happening after I die, I feel like I’m missing something today. I will get philosophical for a second: Let’s say heaven and hell—I think heaven and hell is a metaphor for the mindsets in which we live. It’s not an afterlife experience, it’s a living experience and you create your heaven or you create your hell. You can follow every doom-scrolling thing you see on social media and every clickbait thing online and live miserably, or you can slow it down and just be like, "
32,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Tony’s been in the driver’s seat for some of the biggest moments in our humble history. , 
33,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Starship Troopers,"
"
34,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Wild at Heart,"
"
35,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Aliens,"
"
36,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Minority Report,"
"
37,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",The ’Burbs,"
"
38,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Thrasher,"
"
39,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Police Academy 4,"
"
40,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>","My brother, minutes before I bounced through a Fijian reef","
"
41,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Many people throughout the years,"
"
42,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>","Chris Sacca, in 2010","
"
43,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>","Me, in 2002","
"
44,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>","Bob Burnquist, regarding his loop just before I broke my pelvis, 2003","
"
45,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",Ban This,"
"
46,"<h3 class=""article-title"">5 Greats: Tony Hawk</h3>",THPS,"
"
47,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Hey, what’s up, Sky? Is this gonna be your first time in Thrasher?","No, it’s probably my fifth time or something, but I’m always stoked to get in it."
48,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Thrasher,"No, it’s probably my fifth time or something, but I’m always stoked to get in it."
49,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",So you’re 14; you’ve already accomplished a lot of stuff. When do you turn 15?,I turn 15 on July 7th.
50,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",What are your summer plans?,"My summer plans are just to keep progressing and skating and surfing. I’d like to learn some new tricks, travel, teach kids around the world how to skate and inspire more people."
51,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",I heard you moved from your last place ’cause people found out where you lived and they were leaving weird stuff on your doorstep.,"Yeah, I was living in Oceanside. I was always walking around there and people figured out where I lived and left some stuff on my front door. It was really sweet, like letters and stuff, but it just got kinda creepy. So yeah, we moved to a pretty secret spot."
52,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",That’s good. Keep it secret. What’s the biggest freak out you’ve ever witnessed in person?,"There were a few fans that were tearing up and it felt really good, I guess, just seeing how happy they were to see me and it made me wanna do even more to inspire them. So yeah, there’s definitely been some really cool people I got to meet."
53,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",That’s cool. I had someone freak out on me before. You wanna hear the story?,Yeah.
54,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",I had someone recognize me when I was going into a truck-stop bathroom and then they followed me in there and I had to take a number two. Then they waited until I came out. I could see their shoes waiting for me. Then when I got out they tried to shake my hand but I couldn’t even look them in the eye.,That’s pretty good. I haven’t had that one yet. Maybe one day…
55,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Yeah, you gotta watch out. The rule is you gotta travel in a pack. You can’t get caught slipping solo out there. What celebrity, if you saw them in person, would you freak out on?","Oh, there are a lot. Well, I guess I already met a few of them. It was really random but I met Avril Lavigne at the show "
56,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Dancing with the Stars, 
57,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Last time you and I went out skating you had donuts, then we got pizza, then we had soda and then we had ice cream later. Do you think that I could negatively affect your Olympic plans if we keep skating together?","Yeah, Mike, I don’t know—I think you’re making me a little bit crazy with this stuff. But it’s fine. A little bit of ice cream definitely makes my day."
58,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Ice cream makes my day, too—as long as we don’t do it every day.","Yeah. Well, actually my mom’s a nutritionist so we’re pretty healthy at home, but when I go out and my mom’s not there sometimes I get a little sneaky."
59,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Me too. If I was going to go on Dancing with the Stars, what type of preparation would I need to do?","Oh, since I was little I would always do little shows in the mirror and dance in the shower. I don’t know if you already do that but I think you do."
60,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Dancing with the Stars,"Oh, since I was little I would always do little shows in the mirror and dance in the shower. I don’t know if you already do that but I think you do."
61,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",I haven’t done it lately. So that’s where I need to start—I need to get a bigger mirror.,"Yeah. Don’t you already do that, though?"
62,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Yeah, sometimes. If you could ask a pro skater to go on Dancing with the Stars with you, who would you ask?","I always see Dashawn dancing and doing those TikTok dances so it would be really funny. I think he’d be really good at it, actually, like from watching him doing that."
63,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Dancing with the Stars,"I always see Dashawn dancing and doing those TikTok dances so it would be really funny. I think he’d be really good at it, actually, like from watching him doing that."
64,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Oh my God, you guys would kill it.","Yeah, he would kill it, actually."
65,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Dashawn used to be a dancer. You gotta call him or text him and tell him to show you his dance videos from when he was a kid.,"Oh yeah, for sure. But yeah, I always see him at the skatepark doing little moves and I’m like, "
66,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Ooh, he’s good", 
67,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",You guys should go on there and you should win that shit again.,"Oh yeah, he’ll be my partner."
68,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Yep, maybe one day. Okay, I’m gonna do a pop quiz with you on core skateboarding. Who has the cutest logo in skateboarding?","I think Bones, maybe? No, wait. Toy Machine has a pretty cute logo, actually."
69,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","We’ll take that. Who’s your favorite Antihero team rider or video? I’ll give you a hint, you’re on the same team as him.","Okay, Antihero. I think—Grant Taylor?"
70,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",We’ll take that.,"Oh, and Jeff Grosso. I used to be really close with him. He came down to our place to skate a lot."
71,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",That’s right. Have you ever met Frank Gerwer?,Who?
72,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Frank Gerwer. He’s the best. I should introduce you to Frank. He’d be your new favorite person.,"Yeah, I would love to meet him. I don’t think I have, actually."
73,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",So what year were you born?,I was born in 2008.
74,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Silas Baxter-Neal was Skater of the Year for 2008. Who’s your prediction for SOTY this year?,Oh gosh. This year I would vote Kieran Woolley. He’s been ripping it this year and I love watching him skate.
75,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",He’s amazing. Who is your favorite GX1000 skater? Have you seen the GX videos?,"Yeah, I have but I just don’t remember who’s in it."
76,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Would you go skate with the GX1000 guys? Would you try to bomb those crazy hills?,"Oh yeah, for sure! Bombing is really fun. I usually get worked on them, too, ’cause I ride loose trucks and I have to learn how to not get speed wobbles."
77,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",You ride trucks as loose as Daewon.,Yeah.
78,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",How did you decide that you’re gonna ride your trucks that loose?,"Well, when I was little I was always—I would surf, too, so loose trucks kinda felt more cruisy."
79,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","You gotta be able to turn, yeah.","Yeah, and I was really light, so loose trucks help."
80,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",How many Thrasher magazines do you own?,I’d say about five.
81,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Thrasher ,I’d say about five.
82,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",What’s your favorite one?,"I think the ones I have, I’m in them. But I think my favorite one was the last one. Wait, actually my favorite one was the one where Funa got the cover."
83,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",You gotta frame that thing. Get her to sign it and put it on the wall. Would you do King of the Road if you were asked?,I don’t think so.
84,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",King of the Road,I don’t think so.
85,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",That’s a good answer. When was the last time you think Jamie Foy ate a vegetable?,Is a potato a vegetable?
86,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",Yeah.,"I don’t know when the last time was, but probably today."
87,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>",At your age I used to sleep till one in the afternoon. What time do you usually wake up?,"Honestly, I wake up around 6. I try to go to sleep early ’cause I wake up early, but it’s definitely hard."
88,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","Whoa, 6 AM every day? That’s amazing. Maybe that’s how you’ve accomplished so much in your short time.",I like waking up early and having a long day.
89,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","That’s a good thing. Okay, last question: what advice would you like to give to any up-and-coming skaters out there?","My advice is don’t try to fit in. ’Cause I know there’s so many different styles, so many different tricks—you can add your own taste to it, so definitely just do you and have your own style and that’s it."
90,"<h3 class=""article-title"">Sky Brown's ""Gassed Up"" Interview</h3>","I love that, Sky. Thank you so much.",Thank you!
91,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","You had to get back to work immediately after the Scramble, right?"," Yep, the day I got back, I went straight back the next day and did like a 13-hour day. It was a big one."
92,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Oh, man. So yeah, you’re a real amateur; you gotta have a job."," Yup, I sure am. I work for my family’s business, too, so my dad would kill me if I didn’t come to work. "
93,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",Remind us what your job is., I work for my family’s company. We do like all earth-moving equipment. I do all the engineering and welding and a bunch of the parts and stuff.
94,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",, 
95,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",Do you know how to operate massive machinery?, I do. 
96,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",What’s the biggest thing you drive?," I’ve driven a sixty-ton excavator, which is pretty big. "
97,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",Sounds like it! How long have you worked a real job like that?, I’ve worked here for 11 years now. 
98,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",How old are you?, I’m 26.
99,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","So shit, they put you in early."," Yeah, I used to come here even when I was younger and just do stuff and learn stuff. I always used to like coming here and building things and doing stuff with my dad, so I was always here a lot earlier than I was meant to be. "
100,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",So you enjoy doing it? It’s not a complete drag?," Oh no, I love it. I love it here. It’s great. I get the opportunity to build all my own stuff here and use the workshop and have pretty much every tool I need to make whatever I want out of metal, so it’s pretty fun at times. "
101,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",Is that how you got so good at kink rails?," No, absolutely not."
102,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",What was your reaction when you saw your Thrasher cover?, I think it was like four or five in the morning and I seen my phone kind of blowing up. Then when I read it I kind of exploded out of bed and just started running around a little bit. I went to my outdoor refrigerator and got myself a beer and drunk a beer at four in the morning. Then I woke up my dad and made him drink a beer with me at four in the morning. 
103,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",Thrasher , I think it was like four or five in the morning and I seen my phone kind of blowing up. Then when I read it I kind of exploded out of bed and just started running around a little bit. I went to my outdoor refrigerator and got myself a beer and drunk a beer at four in the morning. Then I woke up my dad and made him drink a beer with me at four in the morning. 
104,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Oh, man. So then did you go back to bed or was that just an early start to the workday?"," Oh, there was definitely no going to bed—I went straight to work. But yeah, I was pretty distracted all day—that’s for sure. I sat in the office chair and I told everyone not to talk to me all day about work-related stuff or subjects. "
105,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",So you’ve been doing this for a while and kinda floating. I’ve seen your name for many years. How’d you get this momentum recently? Have you changed your shit up? What’s going on?," I think the last couple of years me and my filmer out here have just been putting all these little projects together. Nothing really for any brands, we’ve just sort of been doing our own thing. And then unexpectedly I had a couple parts come out during one year and then getting the Australian Skater of the Year was massive. I feel like all the momentum kinda came off the back end of all of that."
106,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",, 
107,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Yeah, the ASOTY."," I was going between board sponsors and trying to figure all of that stuff out—I went on a three-month US trip to do that and meet a couple of people. The Santa Cruz thing happened and then getting invited on all those trips, it all just kept flowing and kept going. It was great. "
108,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Yeah, how did you know that Santa Cruz was the right choice for you?"," Well, I think it’s great that they also have a really good understanding with the international people. They have really good support with all of that. I mean, the team’s great. When I met Pizzle and Andrew Cannon it all seemed really good. When we spoke about everything, they just seemed like they were really interested and they had a little opportunity for me so it felt like the right choice."
109,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Yeah, and then you’ve been going crazy ever since. You’ve been on all kinds of trips, right? What was your summer like?"," Yeah. Well, I went on the Am Scramble and then I went straight on the "
110,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",So were you ready to jump on the Scramble or did you have any reservations?," No, I mean, not really. I was ready, man. When I got that call and they told me about that I was fucking hyped. I was too scared to even skate at home. I was like, "
111,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","I’m just gonna wait it out, fly over and skate when I’m there", 
112,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",Who did you know on that trip before you went on it?," I knew Patrick and Kieran and that was it. I’d met Patrick previously on trips that I’d been on, so I was pretty stoked to see him there, too. That was cool. I got to see him again—I hadn’t seen him for like three or four years so it was super good to catch up with him on that trip. "
113,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Rad. Yeah, we had people from all over and all different styles of skating. We had these pure street skaters like Nick Matthews, we had little Noah and Max trying to drag pole jams everywhere. What was it like to skate watching all these different approaches?"," Oh, I loved it. That was probably the coolest part about the whole trip was seeing everyone skate so differently and to see other people’s minds work differently and see spots in different ways. So it was super sick."
114,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",It seems like you and Kieran—it was rare that you didn’t at least try something at the spot. Is that the Australia way? ," I’m not really too sure. I think I’ve always sort of done it to myself, like if I go on a trip I try to skate every one of the spots. Even if it’s something that I can’t really skate, it’s like I kinda like the challenge of just trying to do something even if it’s something that’s not so great—just trying to do as much as I can, I guess. And I guess Kieran has kind of the same mindset, too. He skates ramps and he’s at the top of hubbas being like, "
115,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Hey, man, how do I do this?", 
116,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Dude, just go for it and you’ll do it straight away", 
117,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Yep, that’s the way you do it", 
118,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Yeah, he seemed like he was definitely figuring it out as he went, right?"," Yeah, ’cause he was like, "
119,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Yeah, I didn’t really feel like we needed to take him to the bowl at all."," No, that was so sick to see that. I was really stoked for him for that. "
120,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",Who are some of the people or tricks that really surprised you on the trip?," Nick Matthews’ skating is incredible to watch. A bunch of the stuff he did on the trip was super impressive skateboarding. It just seems really powerful as well, when you watch it. "
121,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","What was your favorite trick that you got? You got a lot of tricks—you ollied into the triple-set hubba, you did the crazy snake grind. What was your favorite move that you were most satisfied with?"," God, that’s a hard one. I think probably the snake grind 50-50 just because that rail was so unique and it felt like the coolest thing to do. Those curves were so aggressive, it was super fun. When I locked in and went around it, it felt super rewarding. "
122,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",I didn’t think it was possible.," Yeah, I was hyped on that one, that’s for sure. "
123,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",What about the ollie into the hubba? I don’t know if you heard this but the last person who tried it in the ’90s broke their back.," I actually forgot about the hubba. Yeah, that thing was scary. Holy shit, that was super scary. On one of the falls I slid down on my knee and I was just looking over the edge like, "
124,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",Oh my gosh, 
125,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Oh, man, I’m so glad you didn’t tell me this before I tried it", 
126,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>","Dude, yeah, it’s better off not knowing some of that stuff.", Absolutely.
127,"<h3 class=""article-title"">Am Scramble Interview: Rob Pace</h3>",What’s your actual town that you’re in?," The place that I live is called Tumbi Umbi. That’s the town I live in but the area would be the Central Coast. I definitely wouldn’t say it has a large amount of skateboarding here. As a kid growing up and going skating with my friends, I would get on the train and go to Central Sydney which is about an hour and half away, so I’ve been doing that trip for many, many years. "
